,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0034706830978393556,0.00033801204012492026,0.00027403831481933596,1.5861628088399083e-05,0.001,{'C': 0.001},0.9347826086956522,0.8695652173913043,0.9130434782608695,0.782608695652174,0.9782608695652174,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.8444444444444444,0.898937198067633,0.05173811552611533,10
1,0.0031769990921020506,0.00011399759663660431,0.00026724338531494143,3.932750416418165e-06,0.0027825594022071257,{'C': 0.0027825594022071257},0.9565217391304348,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.9782608695652174,0.9555555555555556,0.9111111111111111,0.9555555555555556,0.9333333333333333,0.8666666666666667,0.9339613526570048,0.029822888081989005,9
2,0.0033233165740966797,0.00025728294481486307,0.0002651214599609375,7.101512600376688e-06,0.007742636826811269,{'C': 0.007742636826811269},0.9565217391304348,0.9347826086956522,0.9565217391304348,0.9347826086956522,0.9782608695652174,0.9777777777777777,0.9111111111111111,0.9555555555555556,0.9777777777777777,0.8888888888888888,0.9471980676328503,0.028441800772441565,8
3,0.003434443473815918,8.065101467102684e-05,0.0002620458602905273,2.708858973948571e-06,0.021544346900318832,{'C': 0.021544346900318832},0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9347826086956522,0.9782608695652174,1.0,0.9333333333333333,0.9777777777777777,0.9777777777777777,0.8888888888888888,0.9603864734299516,0.03105945842667964,7
4,0.0038009405136108397,0.00018895345669853875,0.00026710033416748046,9.119347028573413e-06,0.05994842503189409,{'C': 0.05994842503189409},1.0,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9782608695652174,1.0,0.9333333333333333,0.9777777777777777,0.9777777777777777,0.9111111111111111,0.9691304347826086,0.026668635718103437,6
5,0.004471087455749511,0.00014788351096656847,0.0002724170684814453,1.2742887586985087e-05,0.1668100537200059,{'C': 0.1668100537200059},1.0,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9782608695652174,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9111111111111111,0.9735748792270531,0.023891367719655315,2
6,0.005706977844238281,0.00025854543842696563,0.00026962757110595705,3.809403680495896e-06,0.46415888336127775,{'C': 0.46415888336127775},1.0,0.9782608695652174,0.9782608695652174,0.9565217391304348,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9555555555555556,0.9333333333333333,0.9757487922705315,0.020884768125100112,1
7,0.007282805442810058,0.0007209796915741797,0.00028460025787353517,3.471051092330044e-05,1.2915496650148828,{'C': 1.2915496650148828},0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9565217391304348,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9333333333333333,0.9333333333333333,0.9713526570048309,0.022311362906535653,4
8,0.009526252746582031,0.0006629571548238046,0.00027956962585449217,1.965708772389702e-05,3.593813663804626,{'C': 3.593813663804626},0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9565217391304348,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9333333333333333,0.9555555555555556,0.9735748792270531,0.019320108367145792,2
9,0.013164591789245606,0.0008320468746045782,0.0002767086029052734,9.025458047339886e-06,10.0,{'C': 10.0},0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9347826086956522,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9333333333333333,0.9555555555555556,0.9692270531400966,0.022419883371441518,5
